GPIB1::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 34.12  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 -1.622801E-6 -0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+1
0.000000E+0 -1.576782E-6 -0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+1
1.000000E-7 -8.091468E-8 -8.091468E-15 -8.091468E-1 1.000000E-2 1.000000E+1
2.000000E-7 1.392984E-6 2.785967E-13 6.964919E+0 1.000000E-2 1.000000E+1
3.000000E-7 2.890667E-6 8.672002E-13 9.635557E+0 1.000000E-2 1.000000E+1
4.000000E-7 4.357844E-6 1.743137E-12 1.089461E+1 1.000000E-2 1.000000E+1
5.000000E-7 5.873107E-6 2.936554E-12 1.174621E+1 1.000000E-2 1.000000E+1
6.000000E-7 7.359932E-6 4.415959E-12 1.226655E+1 1.000000E-2 1.000000E+1
7.000000E-7 8.856582E-6 6.199607E-12 1.265226E+1 1.000000E-2 1.000000E+1
8.000000E-7 1.035659E-5 8.285274E-12 1.294574E+1 1.000000E-2 1.000000E+1
9.000000E-7 1.183592E-5 1.065233E-11 1.315102E+1 1.000000E-2 1.000000E+1
1.000000E-6 1.334420E-5 1.334420E-11 1.334420E+1 1.000000E-2 1.000000E+1
1.100000E-6 1.483568E-5 1.631925E-11 1.348698E+1 1.000000E-2 1.000000E+1
1.200000E-6 1.634784E-5 1.961741E-11 1.362320E+1 1.000000E-2 1.000000E+1
1.300000E-6 1.780959E-5 2.315247E-11 1.369968E+1 1.000000E-2 1.000000E+1
1.400000E-6 1.930598E-5 2.702837E-11 1.378999E+1 1.000000E-2 1.000000E+1
1.500000E-6 2.081297E-5 3.121946E-11 1.387531E+1 1.000000E-2 1.000000E+1
1.600000E-6 2.229928E-5 3.567885E-11 1.393705E+1 1.000000E-2 1.000000E+1
1.700000E-6 2.379386E-5 4.044956E-11 1.399639E+1 1.000000E-2 1.000000E+1
1.800000E-6 2.527500E-5 4.549500E-11 1.404167E+1 1.000000E-2 1.000000E+1
1.900000E-6 2.678612E-5 5.089364E-11 1.409796E+1 1.000000E-2 1.000000E+1
