GPIB1::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 33.17  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 -1.491465E-6 -0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+1
0.000000E+0 -1.487588E-6 -0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+1
1.000000E-7 3.826894E-8 3.826894E-15 3.826894E-1 1.000000E-2 1.000000E+1
2.000000E-7 1.496655E-6 2.993309E-13 7.483273E+0 1.000000E-2 1.000000E+1
3.000000E-7 2.998732E-6 8.996197E-13 9.995774E+0 1.000000E-2 1.000000E+1
4.000000E-7 4.498483E-6 1.799393E-12 1.124621E+1 1.000000E-2 1.000000E+1
5.000000E-7 5.984015E-6 2.992007E-12 1.196803E+1 1.000000E-2 1.000000E+1
6.000000E-7 7.476785E-6 4.486071E-12 1.246131E+1 1.000000E-2 1.000000E+1
7.000000E-7 8.979380E-6 6.285566E-12 1.282769E+1 1.000000E-2 1.000000E+1
8.000000E-7 1.047861E-5 8.382891E-12 1.309827E+1 1.000000E-2 1.000000E+1
9.000000E-7 1.195872E-5 1.076284E-11 1.328746E+1 1.000000E-2 1.000000E+1
1.000000E-6 1.345381E-5 1.345381E-11 1.345381E+1 1.000000E-2 1.000000E+1
1.100000E-6 1.494736E-5 1.644210E-11 1.358851E+1 1.000000E-2 1.000000E+1
1.200000E-6 1.643832E-5 1.972598E-11 1.369860E+1 1.000000E-2 1.000000E+1
1.300000E-6 1.793936E-5 2.332117E-11 1.379951E+1 1.000000E-2 1.000000E+1
1.400000E-6 1.942412E-5 2.719377E-11 1.387437E+1 1.000000E-2 1.000000E+1
1.500000E-6 2.092852E-5 3.139279E-11 1.395235E+1 1.000000E-2 1.000000E+1
1.600000E-6 2.240966E-5 3.585546E-11 1.400604E+1 1.000000E-2 1.000000E+1
1.700000E-6 2.392958E-5 4.068028E-11 1.407622E+1 1.000000E-2 1.000000E+1
1.800000E-6 2.537271E-5 4.567087E-11 1.409595E+1 1.000000E-2 1.000000E+1
1.900000E-6 2.691150E-5 5.113185E-11 1.416395E+1 1.000000E-2 1.000000E+1
