GPIB1::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 34.09  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 -1.153559E-6 -0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+1
0.000000E+0 -1.167520E-6 -0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+1
1.000000E-7 3.381619E-7 3.381619E-14 3.381619E+0 1.000000E-2 1.000000E+1
2.000000E-7 1.846950E-6 3.693900E-13 9.234749E+0 1.000000E-2 1.000000E+1
3.000000E-7 3.365045E-6 1.009513E-12 1.121682E+1 1.000000E-2 1.000000E+1
4.000000E-7 4.865560E-6 1.946224E-12 1.216390E+1 1.000000E-2 1.000000E+1
5.000000E-7 6.364007E-6 3.182003E-12 1.272801E+1 1.000000E-2 1.000000E+1
6.000000E-7 7.877965E-6 4.726779E-12 1.312994E+1 1.000000E-2 1.000000E+1
7.000000E-7 9.402523E-6 6.581766E-12 1.343218E+1 1.000000E-2 1.000000E+1
8.000000E-7 1.090407E-5 8.723258E-12 1.363009E+1 1.000000E-2 1.000000E+1
9.000000E-7 1.240304E-5 1.116273E-11 1.378115E+1 1.000000E-2 1.000000E+1
1.000000E-6 1.391493E-5 1.391493E-11 1.391493E+1 1.000000E-2 1.000000E+1
1.100000E-6 1.542811E-5 1.697092E-11 1.402555E+1 1.000000E-2 1.000000E+1
1.200000E-6 1.692009E-5 2.030411E-11 1.410008E+1 1.000000E-2 1.000000E+1
1.300000E-6 1.843896E-5 2.397065E-11 1.418382E+1 1.000000E-2 1.000000E+1
1.400000E-6 1.997360E-5 2.796305E-11 1.426686E+1 1.000000E-2 1.000000E+1
1.500000E-6 2.146300E-5 3.219450E-11 1.430867E+1 1.000000E-2 1.000000E+1
1.600000E-6 2.298627E-5 3.677803E-11 1.436642E+1 1.000000E-2 1.000000E+1
1.700000E-6 2.447644E-5 4.160995E-11 1.439791E+1 1.000000E-2 1.000000E+1
1.800000E-6 2.598109E-5 4.676597E-11 1.443394E+1 1.000000E-2 1.000000E+1
1.900000E-6 2.752530E-5 5.229807E-11 1.448700E+1 1.000000E-2 1.000000E+1
