GPIB1::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 35.17  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 -1.211985E-6 -0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+1
0.000000E+0 -1.195180E-6 -0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+1
1.000000E-7 2.957612E-7 2.957612E-14 2.957612E+0 1.000000E-2 1.000000E+1
2.000000E-7 1.804546E-6 3.609091E-13 9.022728E+0 1.000000E-2 1.000000E+1
3.000000E-7 3.344354E-6 1.003306E-12 1.114785E+1 1.000000E-2 1.000000E+1
4.000000E-7 4.834782E-6 1.933913E-12 1.208696E+1 1.000000E-2 1.000000E+1
5.000000E-7 6.368385E-6 3.184193E-12 1.273677E+1 1.000000E-2 1.000000E+1
6.000000E-7 7.883375E-6 4.730025E-12 1.313896E+1 1.000000E-2 1.000000E+1
7.000000E-7 9.392676E-6 6.574873E-12 1.341811E+1 1.000000E-2 1.000000E+1
8.000000E-7 1.090224E-5 8.721789E-12 1.362779E+1 1.000000E-2 1.000000E+1
9.000000E-7 1.243274E-5 1.118946E-11 1.381415E+1 1.000000E-2 1.000000E+1
1.000000E-6 1.392523E-5 1.392523E-11 1.392523E+1 1.000000E-2 1.000000E+1
1.100000E-6 1.546892E-5 1.701581E-11 1.406265E+1 1.000000E-2 1.000000E+1
1.200000E-6 1.696426E-5 2.035711E-11 1.413688E+1 1.000000E-2 1.000000E+1
1.300000E-6 1.848985E-5 2.403680E-11 1.422296E+1 1.000000E-2 1.000000E+1
1.400000E-6 1.999708E-5 2.799591E-11 1.428363E+1 1.000000E-2 1.000000E+1
1.500000E-6 2.152422E-5 3.228633E-11 1.434948E+1 1.000000E-2 1.000000E+1
1.600000E-6 2.303301E-5 3.685281E-11 1.439563E+1 1.000000E-2 1.000000E+1
1.700000E-6 2.454205E-5 4.172148E-11 1.443650E+1 1.000000E-2 1.000000E+1
1.800000E-6 2.605549E-5 4.689988E-11 1.447527E+1 1.000000E-2 1.000000E+1
1.900000E-6 2.759943E-5 5.243892E-11 1.452602E+1 1.000000E-2 1.000000E+1
