GPIB1::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 31.38  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 3.921503E-6 0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+1
0.000000E+0 3.965970E-6 0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+1
1.000000E-7 6.193008E-6 6.193008E-13 6.193008E+1 1.000000E-2 1.000000E+1
2.000000E-7 8.363943E-6 1.672789E-12 4.181972E+1 1.000000E-2 1.000000E+1
3.000000E-7 1.056280E-5 3.168840E-12 3.520934E+1 1.000000E-2 1.000000E+1
4.000000E-7 1.277665E-5 5.110661E-12 3.194163E+1 1.000000E-2 1.000000E+1
5.000000E-7 1.499464E-5 7.497321E-12 2.998929E+1 1.000000E-2 1.000000E+1
6.000000E-7 1.723021E-5 1.033813E-11 2.871702E+1 1.000000E-2 1.000000E+1
7.000000E-7 1.948517E-5 1.363962E-11 2.783596E+1 1.000000E-2 1.000000E+1
8.000000E-7 2.167110E-5 1.733688E-11 2.708888E+1 1.000000E-2 1.000000E+1
9.000000E-7 2.384281E-5 2.145853E-11 2.649202E+1 1.000000E-2 1.000000E+1
1.000000E-6 2.609234E-5 2.609234E-11 2.609234E+1 1.000000E-2 1.000000E+1
1.100000E-6 2.830671E-5 3.113739E-11 2.573338E+1 1.000000E-2 1.000000E+1
1.200000E-6 3.051902E-5 3.662282E-11 2.543251E+1 1.000000E-2 1.000000E+1
1.300000E-6 3.276182E-5 4.259037E-11 2.520140E+1 1.000000E-2 1.000000E+1
1.400000E-6 3.496714E-5 4.895400E-11 2.497653E+1 1.000000E-2 1.000000E+1
1.500000E-6 3.716445E-5 5.574668E-11 2.477630E+1 1.000000E-2 1.000000E+1
1.600000E-6 3.939020E-5 6.302431E-11 2.461887E+1 1.000000E-2 1.000000E+1
1.700000E-6 4.160508E-5 7.072864E-11 2.447358E+1 1.000000E-2 1.000000E+1
1.800000E-6 4.378765E-5 7.881777E-11 2.432647E+1 1.000000E-2 1.000000E+1
1.900000E-6 4.603149E-5 8.745984E-11 2.422710E+1 1.000000E-2 1.000000E+1
