GPIB1::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 34.21  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 5.773826E-6 0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+1
0.000000E+0 5.801750E-6 0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+1
1.000000E-7 8.033409E-6 8.033409E-13 8.033409E+1 1.000000E-2 1.000000E+1
2.000000E-7 1.032272E-5 2.064544E-12 5.161360E+1 1.000000E-2 1.000000E+1
3.000000E-7 1.256343E-5 3.769028E-12 4.187809E+1 1.000000E-2 1.000000E+1
4.000000E-7 1.482120E-5 5.928480E-12 3.705300E+1 1.000000E-2 1.000000E+1
5.000000E-7 1.705053E-5 8.525265E-12 3.410106E+1 1.000000E-2 1.000000E+1
6.000000E-7 1.925918E-5 1.155551E-11 3.209863E+1 1.000000E-2 1.000000E+1
7.000000E-7 2.153272E-5 1.507290E-11 3.076103E+1 1.000000E-2 1.000000E+1
8.000000E-7 2.379876E-5 1.903901E-11 2.974846E+1 1.000000E-2 1.000000E+1
9.000000E-7 2.603378E-5 2.343041E-11 2.892643E+1 1.000000E-2 1.000000E+1
1.000000E-6 2.829492E-5 2.829492E-11 2.829492E+1 1.000000E-2 1.000000E+1
1.100000E-6 3.055553E-5 3.361108E-11 2.777775E+1 1.000000E-2 1.000000E+1
1.200000E-6 3.276030E-5 3.931236E-11 2.730025E+1 1.000000E-2 1.000000E+1
1.300000E-6 3.500566E-5 4.550736E-11 2.692743E+1 1.000000E-2 1.000000E+1
1.400000E-6 3.729497E-5 5.221296E-11 2.663927E+1 1.000000E-2 1.000000E+1
1.500000E-6 3.948863E-5 5.923294E-11 2.632575E+1 1.000000E-2 1.000000E+1
1.600000E-6 4.175002E-5 6.680003E-11 2.609376E+1 1.000000E-2 1.000000E+1
1.700000E-6 4.394238E-5 7.470205E-11 2.584846E+1 1.000000E-2 1.000000E+1
1.800000E-6 4.623531E-5 8.322356E-11 2.568628E+1 1.000000E-2 1.000000E+1
1.900000E-6 4.849437E-5 9.213931E-11 2.552335E+1 1.000000E-2 1.000000E+1
